GeneID	GSM5239695	GSM5239696	GSM5239697	GSM5239698	GSM5239699	GSM5239700	GSM5239701	GSM5239702
105369533	0	0	0	0	0	0	0	0
105369534	0	0	0	0	0	0	0	0
6309	6.134	5.144	27.36	16.96	7.205	9.443	2.339	5.548
105369536	4.015	3.848	4.053	4.297	0.7939	1.251	4.772	4.852
6653	160.5	161.3	175.6	163.7	51.96	90.28	132	158.2
105369535	1.031	4.502	3.004	2.692	0.6907	1.292	2.145	4.822
107984402	0	0	0.2346	0.3374	0	0	0	0
399959	0	0	0.07372	0	0	0	0	0
406911	0	0	0	0	0	0	0	0
414899	0	0	0	0	0	0	0	0
406882	0	0	0	0	0	0	0	0
113218492	0	0	0	0	0	0	0	0
406892	0	0	0	0	0	0	0	0
100189294	0	0	0	0	0	0	0	0
84959	17.12	8.56	7.17	7.807	2.367	3.435	3.855	8.836
56253	2.818	1.368	2.01	2.891	3.309	3.377	2.577	4.903
79864	0.7562	0.5871	0.8176	0.7838	0.2162	0.245	0.6223	1.463
390259	0	0	0	0	0	0	0	0
341056	0	0	0	0	0	0.06246	0.07693	0
3312	558.3	466.6	589.8	557.3	599.8	541	815.3	628.5
85391	47.33	40.84	60.42	5.111	25.77	15.98	39.35	96.39
85390	60.45	46.94	58.82	65.8	34.07	32.32	52.46	84.94
85389	38.25	32.48	35.54	9.293	10.25	21.78	37.56	43.81
101929289	7.513	2.917	0	0.9735	3.682	3.043	2.998	3.825
79827	0.5853	0.4058	0.565	1.3	0.02561	0.2032	0.4066	1.085
105369540	0	0	0	0	0	0	0	0
105369539	0	0	0	0	0	0	0	0
105369541	0	0	0	0	0	0	0	0
57476	4.048	4.099	2.199	2.943	0.5741	0.7509	1.325	2.014
100616319	0	0	0	0	0	0	0	0
55800	0.4508	0.3366	0.703	0.4718	0.04249	0.1896	0.2595	0.5827
105369543	0	0	0	0	0	0	0	0
7753	4.742	7.106	5.622	9.46	2.956	4.448	5.633	7.942
390260	0	0	0	0	0	0	0	0.6844
105369544	0	0	0	0	0	0	0	0
390261	0	0	0	0	0	0	0	0
338661	0	0	0	0	0	0	0	0
338662	0	0	0	0	0	0	0	0
219875	0	0	0	0	0	0	0	0
219874	0	0	0	0	0	0	0	0
219873	0	0	0	0	0	0	0	0
79490	0	0	0	0	0	0	0	0
390264	0	0	0	0	0	0	0	0
219870	0	0	0	0	0	0	0	0
219869	0	0	0	0	0	0	0	0
390265	0	0	0	0	0	0	0	0
107984403	0	0	0	0	0	0	0	0
105369545	0	0	0	0	0	0	0	0
4013	2.99	1.88	1.764	2.292	1.496	1.765	2.457	2.958
26497	0	0	0	0	0	0	0	0
102724410	0	0	0	0	0	0	0	0
26492	0	0	0	0	0	0	0	0
112267863	0	0	0	0	0	0	0	0
26494	0	0	0	0	0	0	0	0
219865	0	0	0	0	0	0	0	0
283159	0	0	0	0	0	0	0	0
112268069	0	0	0	0	0	0	0	0
283160	0	0	0	0	0	0	0	0
26595	0	0	0	0	0	0	0	0
390271	0	0	0	0	0	0	0	0
107984404	0	0	0	0	0	0	0	0
283162	0	0	0	0	0	0	0	0
26493	0	0	0	0.4368	0	0	0	0
219858	0	0	0	0	0	0	0	0
390275	0	0	0	0	0	0	0	0
116337	0	0.2362	0.1644	0	0	0.07392	0	0
84897	26.15	28.86	23.25	29.27	8.609	14.38	15.05	26.57
54414	3.072	3.126	2.444	3.852	0.6222	0.9482	1.186	3.633
53340	1.666	1.176	1.023	1.472	0.4639	0.46	0.3399	1.851
107984405	0.2228	0.7568	0.7527	0.2165	0	0.06767	0.2084	0.3403
4900	22.55	4.376	1.641	2.36	0.6374	1.159	0.6488	0.7947
23584	7.415	4.515	1.572	0.8477	0.5343	0.265	0.9789	1.776
90952	2.76	1.116	0.9327	0.4471	0.2114	0.2096	0.6024	0.7027
101929340	1.382	2.683	0.5604	1.612	0.254	0.6718	0.3102	0.8444
79684	4.755	4.942	3.108	5.481	0.71	1.242	2.158	3.958
100507283	0.5064	0.7021	0.1955	0.5624	0.2216	0.5713	0.3789	1.215
64221	1.579	0.3315	0.5769	0.2489	0.1307	0.4668	0.4471	1.043
54538	0.147	0.0951	0.06621	0.09522	0	0.05953	0	0.3741
107984406	0	0	0.1266	0	0	0	0	0.1431
220296	0	0	0.0759	0	0	0	0	0
641654	0	0	0	0	0	0	0	0
105369547	0.2654	0	0.5381	0	0.0813	0	0	0
80071	1.766	1.532	1.27	1.461	0.5985	0.6392	1.012	1.779
219855	18.38	19.72	7.499	4.719	4.977	5.027	4.856	10.9
219854	6.661	5.154	3.588	3.803	2.739	4.952	4.252	5.692
103695364	0	0	0	0	0	0	0	0
63876	0	0	0	0	0	0	0	0
105369549	0	0	0	0	0	0	0	0
9638	0.09838	0.06366	0.2216	0.8286	0.1205	0.07969	0.04907	0.05009
403312	0.1776	0.1149	0.4	0.4602	0.07252	0.03596	0	0.09041
105369550	8.725	8.468	7.861	11.31	2.969	0.2945	4.714	2.221
9538	13.43	10.7	10.7	14.33	8.987	8.064	11.03	14.46
3703	20.13	14.39	12.17	14.83	7.181	8.955	13.54	16.98
1111	1.884	1.431	1.605	2.548	1.004	0.6967	1.808	1.689
56	0	0.2109	0.1469	0	0	0	0	0.3319
105369551	0	0	0	0	0	0	0.04113	0
160065	0.273	0	0.1845	0	0	0	0	0
399967	0	0	0	0	0	0	0	0
100169851	0.04538	0	0	0.0882	0	0	0.03395	0.1386
105369552	0	0	0	0	0	0	0	0
399968	0.1059	0	0	0.2059	0	0	0	0.1618
219844	3.423	2.593	2.708	2.758	2.148	2.029	2.935	2.678
83480	8.964	4.726	4.935	7.313	4.474	4.437	5.216	7.099
29118	0	0	0	0	0	0	0	0.04159
338667	0	0	0	0	0	0	0	0.07535
50937	0.2181	0.1411	0.7205	0.6123	0.1188	0.265	0.4533	0.7773
107984407	0	0	0	0	0	0	0	0
105369591	0	0	0	0	0	0	0	0
84881	13.59	13.83	12.65	15.94	9.034	11.93	13.14	18.6
79607	21.13	10.92	4.405	6.028	3.317	3.832	5.427	8.671
6734	38.84	28.54	16.45	18.66	7.563	9.558	13.02	22.52
55572	6.321	5.489	3.897	3.88	1.053	2.088	3.941	4.743
114609	7.45	4.437	2.059	2.304	0.5704	1.131	1.9	2.715
105369557	2.797	1.81	1.031	1.318	0.3115	0.1545	0.4439	1.683
28960	5.753	4.497	3.027	3.903	1.703	3.026	4.709	3.892
399972	1.397	0.5423	0.7551	1.086	0.3423	0.1697	2.508	1.707
6484	5.167	3.695	1.286	3.832	0.8746	0.6609	2.289	1.662
84623	0.6185	0.4288	0.2388	0.5152	0	0.05368	0.628	0.3374
101929427	0	0	0	0	0	0	0	0
105369561	0	0	0	0.03387	0	0	0	0
105369559	0	0	0	0	0	0	0	0
100874251	0	0	0	0	0	0	0	0
100422918	0	0	0	0	0	0	0	0
105369558	0	0	0	0	0.106	0	0	0
283165	0	0	0	0	0	0	0	0
101929473	0	0	0	0	0	0	0	0
105369562	0	0	0	0	0	0	0	0
107984379	0	0	0	0	0	0	0	0
101929497	0.425	0	0	0	0	0	0	0
107984373	0	0	0	0	0	0	0	0
107984374	1.301	0	0	0.632	0	0.1975	0	0
105369563	0.2936	0.2279	0.7141	2.282	0.1439	0.4994	0.9664	0.538
105369564	0	0	0	0.76	0	0	0	0
107984408	1.583	0.9218	2.781	1.538	1.261	4.327	4.974	2.901
2113	208.5	127.4	122.7	147.3	64.16	112.8	121.4	176.7
102466104	0	0	4.738	0	2.148	0	2.623	0
101929517	0.1523	0	0	0	0	0.09254	0	0.2327
105369565	0.1286	0	0	0	0.07877	0	0	0
105369568	0	0	0.09851	0	0.02233	0.02214	0.1363	0
101929538	0.1098	0	0	0	0	0	0.08215	0
