GeneID	GSM2228986	GSM2228987	GSM2228988	GSM2228989	GSM2228990	GSM2228991	GSM2228992	GSM2228994	GSM2228995	GSM2228996	GSM2228997	GSM2228998	GSM2228999	GSM2229000
113218503	70.17	11.82	8.34	59.29	8.114	6.669	41.86	4.588	49.38	7.875	4.755	25.81	5.574	12.74
79989	1.932	0.3881	0.1661	5.334	0.4603	0.4796	5.406	0.9163	7.963	1.65	0.8643	4.554	1.481	1.767
254048	3.9	0.8766	0.5327	4.792	0.7455	0.8253	2.034	0.4898	2.218	0.4068	0.4106	1.015	0.2899	0.5748
51631	30.18	7.05	4.941	45.32	4.985	4.985	28	6.3	35.94	7.318	6.152	18.44	6.045	9.42
154791	1.743	1.727	1.962	1.214	1.319	1.368	0.7684	0.8962	0.5836	1.538	1.176	1.068	0.9045	1.142
100189406	20.76	11.08	1.488	10.34	4.648	2.764	13.83	2.06	24.11	2.328	3.517	4.826	2.952	4.809
100996928	30.22	6.766	4.42	47.9	4.825	4.732	30.36	5.909	39.11	7.223	5.702	20.09	5.87	9.397
100129148	14.05	5.887	3.49	19.38	4.986	4.742	18.11	5.848	16.82	7.673	6.312	16.76	5.865	9.981
346689	0.0479	0.01768	0.02547	0	0.05647	0.02711	0.07917	0.02612	0.05772	0.0137	0.0736	0.1136	0.04423	0.01192
154790	0	0	0	0	0.01956	0	0	0	0	0	0.0623	0	0	0
28996	0.4001	0.2382	0.1382	0.8184	0.2006	0.2693	3.697	1.111	2.75	0.9641	1.17	2.111	0.6805	1.572
105375530	0.04398	0	0	0	0	0.04979	0.7268	0.0942	0.8832	0.1101	0.1337	0.3423	0.1088	0.3283
6916	2.899	1.025	0.9406	3.95	0.6829	0.9559	0.9446	0.1461	0.4158	0.09717	0.1253	0.3764	0.05441	0.1409
107986853	0.4673	0.07839	0.07529	0.3598	0.05217	0.1122	0.07801	0.03309	0.1422	0.01013	0.08612	0.03148	0	0.02642
105375532	0.4234	0.05274	0.02111	0.2032	0.04524	0.08389	0.1905	0.01319	0.1276	0.00757	0.04337	0.02197	0.005585	0.002634
64761	10.56	3.261	1.784	53.68	8.127	11.1	128	31.58	170.9	53.45	57.07	136.3	39.62	83.58
80853	10.56	2.45	1.357	19.44	1.973	1.499	4.947	0.6099	7.141	0.8249	0.6292	2.584	0.5175	0.958
100134229	1.66	0.3743	0.3443	1.55	0.3357	0.2049	0.5272	0.0875	0.539	0.1964	0.2278	0.296	0.09879	0.1087
107986854	0	0	0	0	0.01605	0	0	0	0	0.01558	0.01394	0	0	0
105375534	0	0	0	0	0.04226	0.01299	0.1474	0	0.06911	0.03281	0.06609	0.119	0.01513	0.04281
84255	2.412	0.4039	0.3956	8.803	0.6933	0.8217	11.95	2.563	13.53	2.683	2.235	9.763	2.388	3.062
401409	0.02661	0.008182	0.005894	0.4882	0.01307	0.04518	0.2198	0.05526	0.08905	0.04756	0.03123	0.1052	0.06141	0.02758
23608	39.56	8.077	7.66	60.27	6.427	6.89	50.75	9.12	71.73	18.37	12.33	51.06	14.88	19.93
27147	0	0.002408	0.003469	0	0.03269	0	0	0	0	0.001867	0.03342	0	0	0.003247
105375535	0.02999	0	0.009966	0.127	0.03315	0	0	0	0	0.03217	0.05761	0	0	0
107986718	0.1645	0.01518	0.01094	0.72	0.02425	0.02794	0.05288	0.006408	0	0.01471	0.04214	0	0	0
90956	12.03	6.681	8.294	12.46	7.342	8.095	3.55	1.862	3.065	3.864	3.246	5.362	2.322	3.319
100134713	0.9554	2.445	2.947	0.5852	3.274	3.082	1.059	2.675	0.5068	7.361	5.84	1.764	3.888	4.9
4708	136.7	48.51	33.22	328.4	37.94	40.76	189.9	42.15	265.9	87.31	65.18	182.5	74.37	100.3
