GeneID	GSM2202553	GSM2202554	GSM2202555	GSM2202556	GSM2202557	GSM2202558	GSM2202559	GSM2202560	GSM2202561	GSM2202562	GSM2202563	GSM2202564	GSM2202565	GSM2202566	GSM2202567	GSM2202568	GSM2202569	GSM2202570	GSM2202571	GSM2202572	GSM2202573
107987040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100130954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01733	0	0	0	0	0
105376316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102723971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03221	0
360203	0.02516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
392399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402381	0.01416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57582	0.03514	0.07489	0.07623	0.115	0.09148	0.2073	0.03868	0.1492	0.009065	0.2359	0.1634	0.1758	0.1036	0.2417	0.2969	0.339	0.2662	0.252	0.1562	0.1165	0.1244
107987139	0.4082	0	0.182	0.8336	0.9011	0	0.1694	0	0.1488	0.3645	0.1626	1.264	0.4375	0.6068	0.8009	1.192	0.7768	1.699	0.9812	0.4323	0.5447
107987140	0.3012	0	0.2984	0.3416	0.9964	0.04565	0.5226	0	0	0.5155	0.6522	0.6361	0.3	0.4681	0.2418	0.8708	0.5693	0.6049	0.5505	0.3078	0.1051
157922	3.914	6.042	6.708	6.85	7.16	5.774	5.607	7.421	5.096	5.062	6.669	11.88	9.252	12.66	11.61	13	9.415	10.01	12.14	9.219	10.99
107987141	0.5509	1.312	3.11	2.941	2.856	2.286	3.206	0.736	0.3735	3.59	3.242	3.449	2.472	2.466	2.805	3.976	2.95	3.106	3.269	2.788	3.867
10422	16.26	21.16	22.17	30.96	27.15	28.92	20.82	28.67	20.81	18.62	27.12	32.49	31.82	34.61	33.52	34.39	29.14	31.17	30.38	25.49	35.28
138151	1.644	1.961	2.344	2.792	3.943	2.243	1.964	1.613	1.583	2.549	1.729	6.474	8.078	5.545	5.865	5.392	3.808	4.324	5.243	4.696	4.681
105376322	0.3416	0.09103	0.2628	1.329	0.1734	0.598	0.5161	0	0.487	0	0.3755	0.4233	0.7954	0.584	0.5362	0.9053	0.5233	0.3773	0.558	0.544	0.5242
105376323	2.635	1.233	0.8523	1.735	0.625	2.34	2.31	1.734	1.363	1.095	1.353	2.822	2.63	2.849	2.415	2.958	2.479	1.329	1.485	1.937	3.306
90120	13.16	14	23.18	16.92	16.48	13.98	25.6	23.85	17.62	17.75	21.38	42.75	36.18	46.19	40.61	42.13	29.66	27.88	35.26	32.57	34.09
8022	0	0.1753	0	0	0	0	0.1177	0	0	0	0.1356	0	0	0	0	0	0.036	0	0	0	0
169714	7.055	9.437	13.69	15.31	13.84	11.53	11.77	13.33	8.119	15.04	17.08	25.31	18.69	28.77	20.8	28.61	22.27	19.36	24.13	17.92	19.21
101928722	0	0	0	0	0	0	0	0.0348	0	0	0	0	0	0	0.04783	0.04307	0.02668	0	0.01531	0	0.02338
399693	0.01018	0	0	0.1046	0.02585	0.1358	0	0	0.01708	0	0.06529	0.01577	0	0.01339	0.04994	0.01799	0.03342	0.03748	0	0.02861	0
26102	0	0	0	0.03025	0	0	0	0	0	0	0	0	0	0.0271	0	0.009104	0.01128	0	0.0259	0	0
26086	1.134	1.713	1.584	1.18	1.399	1.37	1.614	1.582	0.5545	2.279	2.204	4.85	2.503	3.237	4.343	3.992	3.919	1.758	3.081	2.426	2.466
728489	6.353	5.285	8.561	4.472	8.674	10.44	8.363	9.643	4.452	7.942	6.714	8.222	9.946	10.71	9.417	7.359	6.467	5.88	5.894	8.664	15.05
