GeneID	GSM3591825	GSM3591826	GSM3591827	GSM3591828	GSM3591829	GSM3591830	GSM3591831	GSM3591832	GSM3591833	GSM3591834
54919	14.64	31.9	5.279	5.207	6.102	15.04	26.66	6.206	4.706	6.003
23353	11.83	15.67	19.49	23.08	10.08	11.35	16.26	23.23	23.42	17.14
51608	13.03	22.46	8.837	11.61	16.17	10.65	15.6	9.92	10.98	11.24
11033	2.682	39.34	4.115	2.807	34.03	7.681	24.81	4.994	2.68	13.55
90639	3.961	7.373	11.52	13.64	12.98	4.204	8.569	14.23	13.61	13.32
84310	7.29	9.082	5.049	2.903	5.053	6.874	8.884	7.773	4.125	4.389
54905	0.1384	0.02079	0.5425	0.5249	0	0.1501	0.02534	1.244	0.8098	0.6688
442907	0	0	3.388	1.356	4.256	2.142	1.899	13.32	2.574	1.453
115330	0.4233	0.3816	0.2641	3.609	0.4976	1.485	2.283	0.04945	4.693	1.698
107986755	0.1574	0.1418	0.04407	0.1294	0.05536	0.1045	0.247	0.2503	0.08612	0.03779
105375120	0.1598	0.2577	0.1319	0.165	0	0.2033	0.2864	0.108	0.1181	0.08481
2852	0.2303	0.4152	1.007	0.3616	0.3273	0.3295	0.3699	0.5008	0.2602	0.6702
102723758	0.4477	0.9495	0.2065	0.186	0.2919	0.3184	0.6366	0.6091	0.1009	0.3985
90637	2.344	3.835	4.328	4.347	8.065	2.844	3.713	5.451	4.867	4.603
101927021	1.755	2.954	3.09	2.207	2.25	2.865	3.739	2.209	3.316	2.371
340260	0	0.04668	0	0	0	0	0	0	0	0
79778	0.2913	0.3166	0.08397	0.4236	0.2532	0.2788	0.32	0.08805	0.6454	0.2916
107986756	0.05207	0.09385	0.2041	0.4086	0	0.04841	0.0572	0.1338	0.5983	0.1969
26173	17.23	29.47	23.54	20.5	25.9	16.75	25.79	28.33	22.6	19.75
7975	8.198	15.91	9.08	9.166	7.716	8.244	12.21	11.79	9.017	9.369
100128653	1.294	1.126	5.115	3.763	1.401	1.078	1.764	6.648	3.759	3.234
202915	0.9921	1.934	1.503	1.491	1.144	1.145	1.399	1.736	1.855	1.632
84262	23.5	48.2	14.25	11.29	20.76	26.97	33.22	13.67	13.85	13.37
114796	0.3662	0.7647	1.453	1.199	1.056	0.6145	0.8438	2.341	2.076	1.858
105375122	0	0	0	0	0	0	0.06822	0	0	0
105375123	0	0	0	0	0	0	0	0	0.0474	0
260341	0	0.02195	0	0	0	0	0	0	0.04665	0
107986757	0	0	0	0.07783	0	0	0	0	0.19	0
392617	0	0.06102	0.0553	0	0	0.005246	0.06199	0.0145	0	0.007114
401296	0	0	0	0	0	0	0	0	0	0
105375124	0	0.004606	0	0	0	0	0.005614	0	0	0
101927125	0	0.3389	0	0	0	0.1498	0.1771	0	0	0
8379	9.264	12.73	15.22	18.42	19.91	8.134	11.53	18.87	22.28	17.62
105375128	0	0	0.279	0.2792	1.051	0.1323	0.07817	0.1828	0.5906	0.3589
100127955	0.08972	0.1155	0.6155	0.4124	0.5445	0.1966	0.1619	0.8562	0.7323	0.7595
100616160	0	0	1.434	2.297	5.406	0.6804	0.8039	0	5.139	0
109623488	0	0	1.506	0	0	0	0.8438	0.9868	0	0.4842
105375127	0.1873	0.1865	0.2125	0.2243	0.182	0.2199	0.3248	0.4305	0.1573	0.3107
105375126	0.4063	0.4847	0.4686	0.3095	0.3973	0.4111	1.169	0.5835	0.6256	0.3616
29960	17.7	36.78	15.39	9.976	9.156	19.29	31.6	12.17	8.866	10.1
4521	28.39	25.77	9.987	4.869	9.409	29.83	31.55	9.29	4.931	6.009
29886	2.208	5.05	6.617	0.6887	1.318	2.412	4.068	5.229	0.8558	1.131
102465503	0	0	3.37	0	0	1.598	0.9443	2.209	0	0
8662	92.61	200.2	48.52	47.45	46.53	105.1	162.6	54.4	52.07	47.38
55501	0.09642	0.8181	2.144	1.634	9.089	0.1484	0.4456	2.486	1.314	4.435
402635	0	0	0.386	0.2898	2.546	0	0	0.7589	0.07857	0.5276
107986758	0	0	0.1815	0.2179	0	0	0	0.7135	0.1182	0.7002
107986759	0	0.05838	0.8888	2.033	0	0.06023	0	0.6657	3.267	0.5717
3955	2.702	16.36	45.1	30.11	21.63	7.879	16.65	54.33	36.91	30.02
100616116	0.7521	2.034	13.27	13.58	27.78	1.399	4.131	38.65	12.96	10.43
221927	16.42	30.52	24.88	18.73	20.08	16.81	25.11	25.32	21.99	21.57
23288	1.054	2.336	1.135	1.352	3.106	1.294	1.219	0.9563	1.122	1.469
107986760	0.04121	0.07428	0	0.1617	0	0.07663	0.1358	0.1059	0.1579	0.05196
80727	3.499	6.904	3.072	2.018	1.998	3.356	10.48	3.318	2.889	2.171
155185	0.08715	0.1326	3.065	0.2522	0.161	0.1722	0.1735	2.547	0.3165	0.4945
2768	6.852	7.179	20.08	4.115	6.319	5.364	8.262	22.52	4.685	5.015
84433	28.61	36.73	53.66	43.99	61.39	28.99	39.16	55.91	42.89	44.94
101927256	1.179	2.126	6.935	5.168	1.815	1.919	2.267	11.62	5.647	5.824
107986761	1.701	0.9982	5.97	3.353	3.507	1.618	1.434	4.675	1.641	3.541
105375130	0.08318	1.199	0	0.4733	9.064	0.01934	0.1599	0	0	0.07866
100129603	0	0	0	0	0	0	0	0	0	0
105375132	0.08881	0	0.04974	0.04979	0.09373	0.1652	0.1115	0.0652	0.0729	0.016
221935	0.1803	0.04945	0.2305	0.3722	0	0.1603	0.1464	0.1007	0.4054	0.06424
105375131	0.01826	0.01646	0	0.043	0	0.03396	0	0	0.0583	0.02303
105375133	0	0	0	0	0	0	0	0	0	0
221937	8.581	15.46	10.64	15.57	9.042	9.063	14	13.11	15.38	15.31
9907	3.2	7.627	14.57	13	17.25	4.522	6.615	14.25	14.82	14.36
100616465	4.332	3.904	5.661	3.966	0	4.028	8.725	9.276	7.375	0.9103
55698	0.0472	0.07658	0.2036	0.1334	0.4533	0.02633	0.1245	0.7035	0.6389	0.6189
109623455	0	0	0	0	0	0	0	0	0	0
56903	0	0	0.02473	0.009899	0.04659	0.02346	0.02771	0.06482	0	0
221938	0	0	0	0	0	0	0	0	0	0
441191	7.532	18.74	12.14	19.12	17.78	8.785	14.03	16.15	19.04	18.07
100533952	3.38	4.062	2.858	6.97	4.407	3.451	7.063	7.664	5.966	4.93
57786	5.553	8.245	7.834	13.27	12.01	7.592	11.07	9.428	11.37	10.83
389458	0.6547	0.08429	0.1833	1.174	0	0.2609	0.6165	0.9612	0.7165	0.9433
645700	0.4697	0.2419	0.6577	7.504	1.363	0.3743	0.1843	0.7759	6.897	2.157
26100	9.714	15.06	18.09	18.18	18.21	8.95	12.35	15.31	15.82	16.08
