GeneID	GSM2090431	GSM2090432	GSM2090433	GSM2090434	GSM2090435	GSM2090436	GSM2090437	GSM2090438	GSM2090439	GSM2090440	GSM2090441	GSM2090442	GSM2090443	GSM2090444	GSM2090445	GSM2090446	GSM2090447	GSM2090448
255031	1.433	0.6391	3.112	0.868	0.5935	0.5467	1.023	1.399	3.625	1.211	0.752	1.588	6.616	4.509	7.735	4.417	4.781	6.645
28988	66.84	60.93	47.16	51.65	44.34	38.31	81.37	87.16	55.95	61.22	69.54	56.88	85.58	105.7	100.1	99.47	75.4	99.69
102466985	0	0	0	2.979	0	0	0	0	0	0	0	0	0	0	3.861	0	0	3.378
5224	2.207	1.118	0.9332	1.594	1.993	1.377	1.909	2.033	1.189	2.542	3.157	1.428	10.57	12.07	10.33	19.11	7.907	13.43
27434	15.68	13.76	10.48	13.55	12.58	8.437	15.32	15.03	9.505	13.02	12.59	11.6	26.43	29.06	30.23	24.59	20.14	32.41
102465504	14.99	6.684	10.46	17.02	7.448	6.861	7.135	13.51	3.554	4.221	7.864	7.116	31.59	17.68	17.65	8.399	9.091	23.17
165	20.1	8.482	6.91	9.056	7.582	6.425	9.345	8.891	9.118	12.09	9.179	7.292	63.03	67.97	59.29	68.34	19.93	65.24
100616346	7.87	5.849	3.051	5.957	0	3.002	0	2.955	3.11	3.693	0	3.113	7.898	18.57	7.722	14.7	3.977	16.89
5425	39.09	47.41	35.02	43.69	50.97	31.02	53.7	54.27	46.02	40.83	55.49	48.96	55.33	69.14	70.91	57.63	55.06	66.91
58498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2645	0	0	0	0	0	0	0	0	0	0.05424	0	0	0	0	0	0.05396	0	0.09923
105375258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375257	0	0	0	0	0	0	0	0	0	0	0	0	0.1409	0	0	0	0	0
10652	92.95	99.89	97.22	103.4	113.5	94.01	107.1	101.6	99.74	86.82	119.7	100.2	90.13	85.67	85.58	83.95	72.44	87.55
816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04864	0	0	0
23386	8.755	9.738	7.435	11.81	11.97	6.993	14.39	13.81	8.112	7.944	13.52	8.165	11.15	10.02	11.51	10.08	10.83	13.25
29881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54606	44.02	56.11	48.96	53.23	66.15	44.21	65.53	59.52	47.41	43.13	64.1	53.7	29.83	28.2	32.18	33.16	32.44	35.46
222068	44.21	41.06	46.87	42.93	43.55	34.07	45.52	41.14	48.46	42.8	44.88	39.4	55.25	61.46	66.17	57.75	50.87	64.76
