GeneID	GSM6855732	GSM6855733	GSM6855734	GSM6855735	GSM6855736	GSM6855737	GSM6855738	GSM6855739	GSM6855740
100422934	0	0	0	0	2.278	0	0	2.263	0
100189196	0	0	0	0	0	1.755	0	0	0
100188987	0	0	0	0	0	0	0	0	0
100189143	0	0	0	0	0	0	0	0	0
100189336	0	0	0	0	0	0	0	0	0
100189368	0	0	0	0	0	0	0	0	0
100189041	0	0	0	0	0	0	0	0	0
100189167	0	0	0	0	0	0	0	0	0
100189099	0	0	0	0	0	0	0	0	0
100189067	0	0	0	0	0	0	0	0	0
100189014	0	0	0	0	0	0	0	0	0
100189310	0	0	0	0	0	0	0	0	0
10279	0	0.1313	0.2961	0.1561	0.1491	0.3993	0	0.3457	0.4146
7202	0	0	0	0	0	0	0	0	0
100189213	0	0	0	0	0	0	0	0	0
100189363	0	0	0	0	0	0	0	0	0
100189408	0	0	0	0	0	0	0	0	0
100189329	0	0	0	0	0	0	0	0	0
100189002	0	0	0	0	0	0	0	0	0
94026	0	0	0	0	0	0.04041	0	0	0.1259
105375107	0	0	0	0	0	0	0	0	0
387316	0	0	0	0	0	0	0	0	0
100189345	1.857	0	0	0	0	0	0	0	0
100189182	0	0	0	0	0	0	0	0	0
7754	0	0	0	0.03585	0	0	0	0	0
346157	0.1946	0.3416	0.1016	0.4062	0.3283	0.4263	0.2841	0.5042	0.2766
7738	0.5067	0.2873	0.3888	0.7061	0.631	0.6215	1.036	1.168	1.089
105375001	0.02293	0.06502	0.02095	0.02577	0.04924	0.1099	0.02344	0.02446	0.06845
100189077	0	0	1.489	1.832	0	0	0	0	0
100189158	0	0	0	0	0	0	1.897	0	0
23437	0	0	0	0	0	1.562	0	0	1.622
100189247	0	0	0	0	0	0	0	0	0
100189292	0	0	0	0	0	0	0	0	0
107986584	0	0	0	0.03003	0	0	0	0	0.02658
23540	0	0	0	0	0	0	0	0	0
100189189	0	0	0	0	0	0	0	0	0
790951	0	0	0	0	0	0	0	0	0
100189352	0	0	0	0	0	0	0	0	0
94017	0	0	0	0	0	0	0	0	0
100189268	0	0	0	0	0	0	0	0	0
100189070	0	0	0	0	0	0	0	0	0
100189012	0	0	0	0	0	0	0	0	0
100189390	0	0	0	0	0	0	0	0	0
100189200	0	0	0	0	0	0	0	0	0
100189053	0	0	0	0	0	0	0	0	0
100189297	0	0	0	0	0	0	0	0	0
100189038	0	0	0	0	0	0	0	0	0
100189301	0	0	0	0	0	0	0	0	0
100189300	0	0	0	0	0	0	0	0	0
100189131	0	0	0	0	0	0	0	0	0
791231	0	0	0	0	0	0	0	0	0
100189095	0	0	0	0	0	0	0	0	0
100189428	1.831	0	0	0	0	0	0	0	0
100189205	0	0	0	0	0	0	0	0	0
100189161	0	0	0	0	0	0	0	0	0
100189340	0	0	0	0	0	0	0	0	0
100189071	0	0	1.65	0	0	0	0	0	0
100507173	0	0	0	0	0	0	0	0	0
100189164	0	0	0	0	0	0	0	0	4.807
100189374	0	0	0	0	0	0	0	0	0
100189101	0	0	0	0	0	0	0	0	0
791230	0	0	0	0	0	0	0	0	0
100131289	0	0	0	0	0	0.1547	0.33	0.1722	0.6425
7212	0	0	0	0	0	0	0	0	0
100189214	0	0	0	0	0	0	0	0	0
100189074	0	0	0	0	0	0	0	0	0
8340	1.18	0.2789	0.8086	0.3316	0.9503	0.2828	0.6032	0.9443	0
8329	0.57	0.2694	1.302	0	3.06	2.731	2.913	0.6081	0.5672
8357	2.543	1.068	2.065	0.6352	0.9102	1.083	1.733	2.11	1.125
8331	0	0.2878	0.8344	0	0.3269	0	0.6224	0.3248	0
8342	0	0	0	0	0	0	0	0	0
8363	0.751	0	1.029	0.422	0.8062	1.079	0.7675	1.602	0.7472
8362	2.266	1.071	1.725	0.8487	2.027	2.895	3.087	1.611	2.254
8330	1.744	0.5493	1.327	4.245	1.248	1.114	2.673	0.93	1.157
8341	2.382	2.814	1.632	5.688	3.835	5.135	4.26	4.764	4.147
8332	0.2844	0	0.5196	0.9589	0.6106	1.635	0	0.3034	0.283
3009	0	0	0	0.3803	0.1816	0.4864	0	0.1805	0.3367
8354	0	0	0	0	0	0	0	0	0.2788
8368	0	0	0	0	0	0	0	0	0
8356	0.2796	0	0	0	0.3002	0	0.2858	0.2983	0.5565
8336	0	0	0	0.3085	0.2947	1.841	0.5611	0.5856	0.8193
8348	0	0.2705	0.5229	1.287	0.3073	0.5486	0.2925	0	0
100189315	0	0	0	0	0	0	0	0	0
100189314	0	0	0	0	0	0	0	0	0
81697	0	0.1042	0	0	0	0.2114	0	0	0
26212	0.1419	0.2682	0	0	0.1523	0.4079	0	0.4541	0
442179	0	0	0.1204	0	0	0	0	0	0
102724889	0	0.3662	0	0.8708	0.4159	0.1856	0.396	0.4133	0
7718	0.5035	0.5234	0.23	0.5658	0.3243	0.6754	0.2058	0.376	0.3507
221584	0.4945	0.6231	0.2108	0.6298	0.2477	0.5054	0.2695	0.3165	0.7872
100129195	0.7949	1.965	1.452	1.1	0.7878	1.406	1.687	1.761	2.373
80345	0.1332	0.08394	0.3245	0.3494	0.5244	0.3404	0.6354	0.8053	0.7512
7745	7.575	6.558	5.225	7.142	7.616	7.802	5.091	5.955	6.307
