GeneID	GSM4552489	GSM4552490	GSM4552491	GSM4552492
126003	16.36	16.71	14.94	16.82
2208	1.643	1.791	9.879	8.64
105372262	0	0.08919	0.6436	0.2608
339390	3.541	3.36	11.15	7.729
30835	13.76	14.76	144.5	131.9
10332	0.1716	0.1104	1.718	1.184
105372263	0.02904	0.01635	0.01475	0.01594
440508	0.06386	0.03595	0.03243	0.03505
115704	13.83	12.55	14.37	13.4
80164	0.1521	0.2025	0.08428	0.1366
388499	2.909	3.319	3.849	3.949
80131	0.9601	1.096	2.692	2.315
5609	42.89	41.67	59.63	55.69
100507588	5.537	5.905	2.743	2.372
6618	26.16	27.14	33.98	37.93
404217	2.347	2.418	2.993	3.618
10469	60.44	59.53	56.59	55.08
1994	83.42	86.11	42.43	43.51
105372266	3.822	3.765	3.073	2.272
6370	0.1025	0.4041	0	0.05628
84467	0.03747	0.0211	0.01903	0
79603	1.494	1.522	4.967	4.138
107985282	0	0	0.3946	0.4265
51293	33.63	32.7	12.22	12.88
4701	62.33	66.63	42.53	45.13
6234	248.7	271	139.9	162.6
256949	0.4111	0.2893	0.3827	0.3196
51129	0.4424	0.5338	1.123	1.11
100507567	12.51	11.23	7.736	10.02
100847049	0.6789	0	0.6896	2.236
9230	100.2	103.7	116.3	124.8
51257	17.82	15.88	29.53	30.29
4670	326.4	333.4	192.5	191.9
84106	7.328	6.717	13.29	11.77
84330	21.09	20.27	12.05	11.34
4542	160.5	163.3	385.9	368.2
81794	1.158	1.358	1.323	0.993
105372267	0	0	0	0
107983991	0	0	0	0
284382	0	0	0	0
284383	0	0	0	0
148156	2.195	2.109	2.757	2.233
85509	0	0	0	0
94025	0	0	0	0
125963	0	0	0	0
390882	0	0	0	0
125962	0	0	0	0
390883	0	0	0	0
57693	35.59	36.23	32.98	33.67
162998	0.03831	0.06472	0.1362	0.1051
125958	0	0	0	0
26648	0	0	0	0
374879	2.084	2.131	2.228	2.278
84527	5.902	6.882	4.231	3.68
100529215	1.648	1.603	1.56	1.172
7730	1.528	1.569	1.529	1.135
112268250	0.04073	0.06879	0.02068	0
10781	20.47	21.31	11.86	10.27
105372269	0.3295	0.2748	0.1859	0.06697
147741	0.06171	0	0.01567	0
105372268	0.03428	0.07719	0.03481	0.05643
79088	4.074	4.486	2.393	2.137
101928238	0.1997	0.2249	0.1352	0.1461
7675	31.33	30.74	22.45	17.73
105376914	0	0	0	0
93134	13.69	13.89	15.26	13.3
284385	4.986	4.287	2.429	1.96
54811	10.37	10.66	7.069	6.234
729648	1.015	1.052	0.7217	0.8245
105372270	1.455	1.38	0.03889	0.04203
162993	3.238	2.661	3.697	2.49
100505555	0.4738	0.3201	0.09624	0.208
54850	36.21	37.32	34.31	34.91
59286	522	546.1	270.8	343.7
100996288	0.1471	0	0	0
5300	88.35	84.31	53.92	56.46
93145	0.05192	0.1754	0.0791	0.05699
50509	0.03964	0.01116	2.727	1.947
50700	0	0	0.04237	0
100847093	0	0	0	0
388503	0	0	0	0
55337	8.768	9.467	43.82	43.74
83854	1.249	1.306	5.998	5.914
56342	35.03	35.87	60.62	55.24
692312	28.15	28.87	55.41	51.55
692229	0.7269	0.8185	3.691	0.7978
100113382	0	0	0.6821	0.7371
5032	19.56	19.14	52.15	46.8
8666	228.8	247.3	247.2	278.2
1786	215.1	216	138.2	127.9
9294	3.087	3.266	25.63	29.47
100422925	0	0	0	0.9289
51073	65.23	67.25	53.58	57.19
105372272	0	0.06071	1.369	1.479
3383	1.832	1.829	405.8	405.6
3386	0.431	0.4854	3.356	2.681
7087	0.1686	0.1899	24.11	20.95
100125288	2.434	2.565	9.698	7.569
112812	11.72	9.968	39.68	40.61
125950	138.2	142.7	86.96	88.64
3385	18.7	20.14	10.98	10.48
7297	69.37	64.98	164.8	139.5
11140	297.3	293.3	417.8	423.1
100302213	31.27	36.93	41.06	56.09
5141	8.82	9.072	21.4	21.81
9817	104.4	107.1	59.62	62.42
53637	4.235	4.488	0.07591	0.1094
84971	35.03	34.45	31.84	30.19
100302226	0.7444	0.8382	0	0
65095	64.55	70.17	46.38	40.57
1032	19.81	18.65	6.033	4.616
10053	0.06188	0.2439	0.09427	0.2037
57153	0.9423	0.8296	4.559	4.833
147727	7.865	6.988	9.767	8.329
3609	189.6	183.6	144.8	127.6
81890	41.56	39.89	49.76	44.85
1785	122.5	122.4	193.3	194.8
693223	0.6178	0.6957	0.6275	0.6781
100616425	0	0	0.7652	0
406976	0.8702	0.9799	0	0
102466737	1.961	2.209	0.996	2.153
11018	28.91	29.04	22.95	23.84
255809	6.609	7.571	1.99	1.56
10498	49.52	49.02	43.71	45.95
78992	39.84	41.93	33.69	36.46
90580	31.88	36	23.8	24.67
6597	106.4	109.8	81.92	82.13
115271120	3.131	3.996	2.756	2.864
3949	55.2	58.91	51.21	42.64
102465534	1.013	0	0	0
147841	45.49	47.92	6.082	4.565
25959	50.66	52.18	53.04	49.86
57572	11.72	11.31	16.43	16.39
105372273	0.8686	0.7336	1.434	1.311
55908	0	0.07978	0.2878	0.07777
26526	0.08647	0	0.1756	0.04745
105372274	0	0	0.1252	0
9545	28.66	29.75	11.23	10.08
374882	20.06	21.54	21.61	22.78
126075	9.914	9.02	12.88	13.56
64748	13.9	14.84	30.83	32.87
126074	7.446	8.158	6.336	5.964
2057	7.198	7.687	5.494	4.434
57139	1.735	1.761	5.707	4.585
115948	1.18	1.452	0.9752	0.9034
5589	220.4	231.5	234.7	215.9
1995	0.03773	0.02832	0.06386	0.0138
115950	5.45	4.651	5.943	5.1
102465856	1.564	0.8806	0.7943	0
51295	28.38	27.5	19.7	18.54
1264	0	0	0.02594	0
84337	34.54	37.21	35.95	41.97
54	0.05958	0.1006	7.11	7.586
199692	22.9	24.24	12.11	12.67
664709	332.6	341.2	107	118.7
401898	2.162	1.983	0.4706	0.3052
55552	8.961	8.82	2.457	2.301
126068	9.126	8.071	2.892	2.272
126069	0.5705	0.5035	0.3445	0.1692
126070	14.81	13.9	6.417	5.498
90594	8.682	8.621	1.543	1.321
7620	3.226	3.105	0.6851	0.5312
90592	35.42	36.33	18.36	12.88
284390	2.501	2.094	1.976	1.314
101928464	8.425	8.322	4.504	4.445
163059	5.026	5.007	2.087	1.64
729747	3.728	4.254	0.9844	0.6274
284391	0.1402	0.1368	0.1139	0.08205
388507	13.3	14.04	1.355	1.114
105372275	0.8799	1.12	0.3108	0.2519
100529855	2.476	2.361	1.34	1.329
7568	2.756	2.64	1.504	1.512
90589	0.2904	0.08175	0.03687	0
7695	8.473	9.098	5.359	4.443
100289333	0.8304	0.374	0.3374	0.9115
107984139	0.234	0.3162	0.3803	0.4624
