GeneID	GSM3098174	GSM3098175	GSM3098176	GSM3098177	GSM3098178	GSM3098179	GSM3098180	GSM3098181	GSM3098182	GSM3098183	GSM3098184	GSM3098185	GSM3098186	GSM3098187	GSM3098188	GSM3098189	GSM3098190	GSM3098191	GSM3098192	GSM3098193	GSM3098194	GSM3098195
2931	61.71	66.41	60.03	63.32	57.6	57.37	51.48	55.42	70.42	42.41	58.45	31.53	89.88	57.37	54.57	35.36	47	52.25	33.2	31.49	48.39	53.99
2077	105	82.2	75.9	91.32	102.5	126.6	82.24	107.6	107.5	100.1	96.87	57.48	81.43	103.1	157.3	193.8	94.61	63.62	77.72	103.4	59.91	34.95
23152	14.66	13.22	12.1	16.12	19.76	17.53	18.23	18.27	28.12	23.56	17.52	7.826	12.56	16.74	18.36	20.65	14.11	14.9	17.65	11.85	23.33	14.66
5050	6.865	11.51	11.99	8.771	17.31	11.03	13.76	8.719	14.27	12.34	11.16	8.601	11.66	14.08	5.37	9.583	8.115	10.56	18.53	9.435	13.85	15.16
284338	0.6805	0	0	0.9166	0	0.1334	0.415	1.151	0.4305	0.1257	0.2646	0	0	0.122	0.5196	0.4838	0	0.6011	0.3031	0.2809	0	0
284339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222	0	0	0	0
1954	1.167	1.114	1.044	0.5045	1.412	0.8894	0.6523	0.3946	0.164	0.6946	0.6806	0.05143	0.5465	0.5349	0.1485	0.3457	0.4769	0.504	1.011	0.4282	0.7033	0.2558
102465875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101930071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996307	0.2116	1.126	0.6626	0.7391	0.3647	1.355	0.527	0.0835	0.3905	1.916	0.09601	0	0.5828	0.3543	0.3771	1.053	0.7479	0.08725	1.43	0.1019	0.09567	0.1082
3991	7.228	2.366	4.809	4.375	7.369	3.911	6.3	5.513	6.223	6.439	5.301	3.624	4.691	4.336	3.488	5.746	5.535	3.179	7.262	4.526	10.89	5.791
284340	0	0	0	0	0	0	0	0	0.2082	0	0	0	0	0	0.2513	0	0	0.4651	0	0	0	0
634	0.05754	0.07064	0.4053	0.06028	0	0	0.8597	0	0	0.5209	0	0.6391	0	0	0.9227	0.5727	0	0.2135	2.691	3.076	0	0.1766
105372407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100289650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
653492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1711	0	0
5669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23574	0	0	0	0.8767	0	2.87	0	1.486	0	2.164	0	0	0	0	0.5592	0.5206	0	1.035	0	0	0	0
57126	0	0	0	0	0	0	0	0	0	0	0	0	1.121	0	0	0	0	0	0	0	0	0
83639	0	0	0	0	0	0.4678	0.849	1.211	0.3774	0	0	0	0.1341	0.7135	0	1.697	0	1.125	1.595	2.627	0	0.1744
27076	44.09	9.562	30.83	25.93	27.28	17.58	68.91	61.85	35.32	17.71	349.1	165.9	63.75	39.75	119.9	78.78	83.53	39.47	135.9	94.93	138.8	68.43
653583	3.874	3.24	5.867	6.235	3.483	3.697	9.347	11.3	5.718	4.574	15.43	5.612	11.13	10.15	20.33	14.95	0.9354	2.222	5.777	5.192	6.167	2.929
23474	13.18	22.75	20.86	23.41	17.77	11.53	19.98	9.042	21.78	17.04	21.57	35.8	25.02	23.98	29.61	19.25	35.29	12.99	27.99	14.9	19.69	20.22
284346	0.6061	0.3721	0.8302	0.9525	1.175	0.1386	0.9703	0.2391	0.671	0	0.4124	0	1.788	0	0.405	0.8798	1.836	0.3748	1.89	0.146	2.329	1.24
7515	25.81	20.84	33.18	34.03	55.17	35.54	56.45	52.5	48.56	48.73	18.83	23.16	37.29	30.19	35.02	26.98	39.98	35.08	72.67	30.34	24.35	50.44
390940	0.7217	0.7089	0	0.1512	2.239	1.98	1.386	1.025	0.799	1.493	0.7858	0.2004	0	0.7249	0.5787	1.078	11.15	1.428	2.701	0	1.175	0
126298	1.454	1.19	1.46	1.546	1.58	1.359	0.9898	1.297	0.8401	1.799	1.406	1.229	1.343	1.456	2.028	4.196	1.469	1.121	1.347	1.279	1.372	0.9379
79177	6.032	4.297	11.19	13.81	6.641	8.173	6.596	6.346	6.842	9.052	5.675	8.788	9.403	13.28	7.364	14.27	8.459	8.013	10.57	5.272	6.16	9.94
126299	1.775	4.141	5.419	7.44	15.37	10.72	11.37	5.673	9.236	8.723	1.449	2.218	5.237	7.801	5.694	5.301	7.797	6.367	6.642	8.978	2.889	3.268
100170229	4.962	3.676	4.319	11.65	9.62	6.104	11.14	11.04	6.441	7.081	1.746	1.425	6.26	9.345	16.92	11.39	10.24	6.984	7.737	8.53	5.569	5.645
105372411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1029	0	0	0
199731	0.4665	0	0	0.782	0	0.256	0	0.1104	0	0	0.8888	2.202	0	0.3514	0	0	0.2826	0.6923	2.036	0.8088	0	0.4294
105372410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5329	18.48	8.078	11.04	5.843	3.806	2.923	5.818	1.038	8.255	8.346	39.74	33.32	9.761	10.62	11.64	27.21	11.29	14.96	13.38	2.988	23.71	10.96
105372412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56006	3.935	4.523	8.567	7.045	9.846	8.146	11.34	9.314	9.147	8.603	4.04	5.76	8.611	12.04	10.18	18.74	7.259	3.406	6.692	7.287	3.929	4.939
3783	3.187	0.6261	17.81	17.97	4.449	9.882	27.35	21.43	14.4	23.08	6.072	5.221	22.72	15.69	2.896	1.031	13.9	11.83	16.99	6.447	8.731	12.32
284348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284349	0.04901	0	0.1007	0.2824	0.3008	0.05042	0.09152	0.0435	0	0.04753	0	0.05103	0.08675	0.1384	0	0	0.01856	0.01515	0	0.07081	0.01661	0
342908	0	0	0.131	0	0.8651	0	1.072	0.3961	0	0.1443	0	0	0.1317	0	0	0	0.5069	0.138	0.5218	0	0	0
100505715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7596	2.52	2.439	5.632	4.214	3.382	3.39	2.741	5.391	2.95	2.506	0.7254	0.74	2.573	4.989	2.59	2.17	2.715	2.098	2.115	3.501	1.051	1.561
7638	0	0	0.1035	0.1385	0	0.06046	0.7995	0.05216	0.04878	0.114	0.05997	0.06118	0	0.05533	0.05889	0.4935	0.1335	0.0545	0.0687	0.191	0.1195	0.1352
7711	0.4229	1.038	0.4513	1.329	0.944	1.951	1.19	2.184	0.5532	1.193	0.5231	0.3202	0.4537	0.8688	1.13	1.004	0.8151	1.331	0.3596	2.222	0.4171	0.1769
101928063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7773	5.076	5.307	11.57	7.32	5.392	9.999	7.51	10.23	5.342	5.785	2.599	4.187	11.45	8.456	7.523	12.45	8.069	5.968	6.583	4.866	9.407	12.03
105372414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7673	0.6248	1.096	0.8384	0.9352	0.6921	3.796	2.763	2.324	0.1976	0.808	1.579	0.9913	2.107	1.457	0.835	1.444	1.217	1.656	2.644	2.708	0.121	2.739
7766	0.4469	0	0.9444	1.623	0.462	0.8174	1.78	3.138	0.6266	0.7705	0.4865	0.4963	0.5625	0.9351	1.234	2.521	0.8122	0.8843	3.019	0.4305	1.131	0.8228
342909	0.9435	0.8951	0.9063	1.033	1.774	0.9414	2.929	1.726	0.8545	0.8873	0.9338	0.2977	1.012	1.777	0.6877	0.4269	0.9093	1.061	2.006	1.239	1.047	1.645
7767	5.792	3.62	2.72	4.156	5.218	5.298	3.859	4.28	3.847	5.402	3.726	3.85	2.237	2.733	3.847	4.324	2.765	2.562	5.309	4.565	10.57	22.62
100379224	0.06137	0	0	0	0	0.0842	0	0	0	0.07937	0	0	0	0	0	0	0	0	0	0	0	0
7768	0.5527	0.3167	1.731	1.544	0.762	2.679	0.9831	1.788	1.265	0.7148	0.1504	0.1023	1.609	0.2313	0.9849	0.7794	0.3349	1.732	0.4021	1.065	0.6996	0.5088
