GeneID	GSM7113703	GSM7113704	GSM7113705	GSM7113706	GSM7113707	GSM7113709	GSM7113710	GSM7113711	GSM7113713	GSM7113714	GSM7113716	GSM7113717	GSM7113718
1605	25.42	22.11	19.49	28.63	26.49	21.95	30.89	29.83	24.77	19.2	24.7	8.605	17.83
100132677	0	0	0	0	0	0	0	0.04748	0	0	0	0	0.06949
8927	0.0284	0.01274	0.006673	0.04196	0.009609	0	0.03779	0	0.03551	0.04129	0.03767	0.02144	1.065
327	71.06	65.15	67.15	73.82	67.31	42.9	53.6	48.45	63	62.88	66.19	50.69	74.73
4485	0.03409	0.1835	0.3845	0.2878	0.2307	0.1657	0.7258	0.1115	0.2728	0.3635	0.1508	2.78	5.221
63891	10.31	9.476	8.654	12.02	11.64	8.701	13.37	10.19	12.88	10.99	10.62	19.17	31.95
386724	0.5558	0.463	0.2985	1.073	1.128	0.03859	0.6691	0.4328	0.3971	0.2694	0.3862	2.038	7.726
29925	8.972	8.863	8.137	11.38	10.73	8.145	12.33	9.476	11.42	10.42	12.88	16.52	18.49
9807	30.41	27.26	27.37	30.73	29.86	21.45	26.35	27.88	29.01	30.64	32.46	24.56	38.77
389118	0	0	0	0	0	0	0	0	0	0	0	0.03462	0.2194
389119	1.851	1.835	0.824	1.151	1.055	0.4735	0.1728	0.6371	3.118	5.854	4.652	1.275	9.013
7318	33.26	37.79	30.48	40.5	34.95	31.93	42.21	45.4	41.86	38.67	42.26	101.7	77.82
100847079	15.6	22.4	20.53	28.98	12.67	19.21	24.91	23.81	26.01	23.19	21.16	57.6	38.17
10293	1.524	1.823	0.9549	1.029	1.581	0.9383	1.217	0.886	1.677	2.019	2.067	1.176	9.562
79012	0	0	0	0	0	0	0	0	0	0	0	0	0.905
4486	0.02099	0.01883	0.01973	0.01772	0.05683	0	0.01862	0.06865	0	0.0407	0.01857	0.02114	0.2679
102724438	0	0	0.09936	0.04463	0	0	0.1876	0	0	0.1537	0	0.3193	0.6746
84315	4.575	4.485	4.078	5.097	4.915	3.164	5.188	5.501	3.916	4.435	5.173	5.271	8.427
10180	11.14	14.35	10.91	18.96	11.78	9.875	31.21	12.44	19.41	14.41	10.07	100.5	60.1
